# Title : in-situ platforms catalog
# Description : catalog of available MED in-situ platforms
# Project : Copernicus (generated by Hellenic Centre for Marine Research-GREECE)
# Format version : 1.0
# Date of update : 20200330051707
# platform_code,creation_date,update_date,wmo_platform_code,data_source,institution,institution_edmo_code,parameter,last_latitude_observation,last_longitude_observation,last_date_observation
1300907,2020-03-08T17:13:46Z,2020-03-08T17:13:46Z,1300907,MO_TS_DC_1300907,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,36.861603,-0.13742296,2014-05-28T18:00:00Z
1300908,2020-03-08T17:13:46Z,2020-03-08T17:13:46Z,1300908,MO_TS_DC_1300908,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.098454,11.201118,2014-11-02T12:00:00Z
135195csv,2019-07-08T10:07:35Z,2019-07-08T10:07:35Z, ,MO_TS_DC_135195csv_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,32.735264,16.675701,2015-07-18T03:00:00Z
135197csv,2020-03-08T17:13:48Z,2020-03-08T17:13:48Z, ,MO_TS_DC_135197csv,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,36.503265,35.49295,2014-10-05T15:00:00Z
13527,2020-03-06T05:39:35Z,2020-03-06T05:39:35Z,13527,GL_TS_DB_13527,Unknown institution, , DEPH TEMP ATMP ATMS ATPT,32.948,-30.683,2015-10-12T23:57:00Z
13566,2019-05-10T13:42:54Z,2019-05-10T13:42:54Z,13566,GL_TS_DB_13566_YYYYMM,Unknown institution, , DEPH TEMP,39.916,2.992,2016-01-12T10:44:00Z
13574,2019-05-10T13:56:30Z,2019-05-10T13:56:30Z,13574,GL_TS_DB_13574_YYYYMM,Unknown institution, , DEPH TEMP,37.101,0.933,2016-03-08T22:51:00Z
13586,2019-05-10T14:07:20Z,2019-05-10T14:07:20Z,13586,GL_TS_DB_13586_YYYYMM,Meteo-France / Centre de Meteorologie Marine (CMM),1190, DEPH TEMP,36.842,6.004,2016-01-26T14:27:00Z
13640,2019-05-12T06:34:23Z,2019-05-12T06:34:23Z,13640,GL_TS_DB_13640,Unknown institution, , DEPH TEMP ATMP ATPT ATMS,32.034,-54.649,2015-10-12T23:57:00Z
13904,2019-05-12T06:43:37Z,2019-05-12T06:43:37Z,13904,GL_TS_DB_13904,Atlantic Oceanographic and Meteorological Laboratory (AOML)  National Oceanic and Atmospheric Administration (NOAA),1799, DEPH TEMP ATMP ATPT ATMS,37.577,-1.229,2014-10-23T20:00:00Z
